username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
flyingwarhobbit,"Retired Colonel of Marines; 
Currently Employed at a Federal Agency;
Full Time Constitutional Conservative Patriot 🇺🇸","Margaritaville, USA",977,861,2234,2015-08-13 14:11:49,2020-12-10 21:40:21,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/INAGkYB8oc via @TheBabylonBee",[]
ScottPa95856164,what is wrong with people,land of THE FREE,27,59,1735,2019-09-27 14:26:18,2020-12-10 21:40:03,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
s0tiKWSQ0jWyqgh,,,34,14,17,2020-12-04 19:46:21,2020-12-10 21:37:33,56,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
Aledolf1,Kapitulieren werden wir nicht,Braunau am Inn,69,24,3180,2018-07-20 19:00:24,2020-12-10 21:34:53,4381,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/ZY0pnSX8I3 https://t.co/YXqcG4T8rQ",[]
AmberOwens18,"HR Leader @AdventHealth – Passionate about exploring new ideas, places, healthcare, human resources, traveling, family, and friends.","Fort Worth, Texas USA",4820,2385,63797,2009-09-26 23:47:52,2020-12-10 21:34:32,0,The Bay Area exodus has a new poster boy. Will that change the dynamic? https://t.co/1qRy47BGng,[]
bloodnteeth,"#WarrenDemocrat Smashing racism, corrupt capitalism and the patriarchy | she/her | kick me under the table all you want, I won’t shut up | I bully centrists",,1027,489,34688,2019-09-10 03:07:31,2020-12-10 21:33:54,526,"Oh man... a program designed to fight poverty, Opportunity Zones, is turning into a tax break for Elon Musk and Jeff Bezos for their space endeavors https://t.co/ZUod2Msuz5 https://t.co/wRYFbartQr",[]
JesusPr39075111,me gusta la musica y jugar futbol,,194,10,21,2020-12-09 18:32:46,2020-12-10 21:33:32,56,"This news is like:

#Russia 🇷🇺 #Moscow to #StPetersburg
#Germany 🇩🇪 #Berlin to #Munich
#India 🇮🇳 #Mumbai to #Delhi
#Singapore 🇸🇬 #Jurong to #PasirRis 

List goes on... 😹🤷‍♂️

https://t.co/uXrD4lqM0d

@Forbes @elonmusk #ElonMusk #Forbes @Tesla @SpaceX #California #Texas ☓.com","[{'text': 'Russia', 'indices': [37, 44]}, {'text': 'Moscow', 'indices': [48, 55]}, {'text': 'StPetersburg', 'indices': [59, 72]}, {'text': 'Germany', 'indices': [73, 81]}, {'text': 'Berlin', 'indices': [85, 92]}, {'text': 'Munich', 'indices': [96, 103]}, {'text': 'India', 'indices': [104, 110]}, {'text': 'Mumbai', 'indices': [114, 121]}, {'text': 'Delhi', 'indices': [125, 131]}]"
SusanOswald17,😎,"Mount Pleasant, SC",390,114,10697,2017-06-24 19:05:25,2020-12-10 21:33:08,0,"Immediately After Moving To Texas, Elon Musk Announces Tesla AR-15 https://t.co/FErYcBxzWT via @TheBabylonBee",[]
BentleysrTroy,"#Maga2020. #Trump2020. Pro 2A. Veteran. Patriot. Father. I only follow patriots. If you're a libtard don't follow me, you'll regret it.🇺🇸","Lock Haven, PA",5829,5307,91395,2017-12-21 16:50:58,2020-12-10 21:31:33,0,Tesla's Elon Musk ditches California for Texas: 'California has been winning for a long time ... they're taking that for granted' https://t.co/l7gPuGApgu,[]
zomfies,"Primarily an RT machine
解放香港
Black Lives Matter
He/him",Melbourne,285,232,132727,2009-03-26 00:21:10,2020-12-10 21:31:11,489,"American citizens: $1200 a month + healthcare for all? 

Government: Hell no. 

Billionaires that got tax cuts and hide money off-shore: Can we use a supposed antipoverty tax breaks to fund our hobbies of trying to exploit space? 

Government: Hell yes! 

https://t.co/htiDasTm9u",[]
