username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
Drnksinatra,music marketing / journalist,"Houston, TX",67,117,28144,2018-12-13 20:07:07,2020-12-08 23:21:43,220,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
sunicamarkovic,"I believe all of nature is a song to sing
https://t.co/t0LpG9Vc7C",Chicago Il,1280,451,154917,2007-11-26 16:04:50,2020-12-08 23:21:41,0,"Elon Musk says he has moved from California to Texas
https://t.co/jo8wzW7yHi
4Real?
Remixlive,Bass House_Sunica_23
https://t.co/jN8ciLxoG5
C&gt;
https://t.co/LvOwSiu1Gs https://t.co/0EhythtX3r https://t.co/UkhKsnsAKs",[]
philjon21,I'm a Student (International Econ & Psychology Major) ! Born in N.O but raised in CA now livin in TX. CashApp: $Philjon,"Houston, TX",2306,723,13724,2009-03-13 21:02:08,2020-12-08 23:21:31,0,"Elon Musk confirms: 'Yes, I have moved to Texas' - CNBC ⁦@elonmusk⁩ is right. Another reason I left CA for Houston, TX 5 years ago. Where in TX did he move? Dallas? Austin? Houston?🤞🏾  https://t.co/xaaEKMp3ne",[]
pioneerpink,Proud Canadian🇨🇦#LibertéAmourArtDesign “FREEDOM：To ask https://t.co/AmFrNG5Q6H expect https://t.co/AmFrNG5Q6H depend on nothing. ”(Ayn Rand) “自由就是無所求無所待無所依。”,,770,431,8462,2020-04-27 01:30:00,2020-12-08 23:21:14,0,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas | The Daily Wire https://t.co/cnVlrqt48w",[]
EFrazier512,now on parler #Trump2020 #TrumpPatriot #MAGA #PatientEndurance #NRA #MolonLabe #KatesMolliesWall #PrayerWorks #StopBullying #2A #TexasCarry +all tweets are mine,Great State of Texas,5002,3797,220780,2014-02-22 01:52:14,2020-12-08 23:21:07,518,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
emuzko,I live in my head. #professionalescapist,L4 0TH / Kuala Lumpur,990,789,24759,2008-06-18 02:15:11,2020-12-08 23:20:53,1,News: @elonmusk confirms to the @WSJ he has relocated to Texas from California. Elon Musk has lived in the Los Angeles area for 2 decades. https://t.co/aUbIdVhslY https://t.co/Bjdtk2RxtE,[]
tatme123,Married to a wonderful man 💓..Love God and The GREAT UNITED STATES OF AMERICA! 🇺🇸 Support our men and women in uniform.🇺🇸 MAGA 🇺🇸 2nd AMENDMENT 👍,USA,3608,3603,120409,2011-03-06 05:35:31,2020-12-08 23:20:44,220,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
jgftn00,,,288,398,86737,2018-01-11 00:13:50,2020-12-08 23:20:30,220,"BREAKING: @ElonMusk: Bye, California, I’ve Moved To Texas https://t.co/5Ql7M9XQRi",[]
hugosocorro,"Bertrand Russell: El problema en el mundo es que los estúpidos están seguros de sí, mientras los inteligentes están llenos de dudas.",,7388,11246,729588,2009-07-21 15:05:00,2020-12-08 23:20:22,518,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
DonCavanaugh,"Coldwell Banker,  949-939-2854,  CALBRE# 01339479,  Buying or Selling Real Estate in So. Orange County, CA","Mission Viejo, CA",232,204,12644,2010-06-10 18:49:58,2020-12-08 23:20:10,0,"Local Orange County News - Tesla’s Elon Musk follows 687,626 Californians who moved to Texas https://t.co/Y1xV2zS2pI",[]
kdhnews,"Central Texas news and information. Publisher of the Killeen Daily Herald in Killeen, Texas. news@kdhnews.com | 254-501-7540","Killeen, TX",956,9049,40940,2009-04-14 13:48:10,2020-12-08 23:20:07,0,Tesla said Tuesday it is looking to raise up to $5 billion in capital through a stock offering. The announcement came on the same day CEO Elon Musk said he has moved his home to Texas from California. https://t.co/yBB9J3zUNN,[]
LisaMSanders,"REAL ESTATE AGENT, IFBB PRO, Army & Air Force VETERAN, ex cop, married mother of 3. Nutrition, crossfit, fitness, boxing, kickboxing & bodybuilding.","Houston, TX ",1452,4528,22649,2008-11-05 01:48:32,2020-12-08 23:19:53,0,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/VabsPl97Dy",[]
1REGINAMARTINEZ,AMOR CON AMOR SE PAGA...💘🇺🇸🤗 #FOLLOW YOU 🔙FAST🌐,,351,361,2113,2020-11-26 23:09:23,2020-12-08 23:19:45,518,"BREAKING: Elon Musk: Bye, California, I’ve Moved To Texas https://t.co/28rld2Uan3 https://t.co/Zm5wk21YLT",[]
