username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
T1G3RL1LY,"Salty 18+ Mostly MCU, DarkHawk, Losers(2010), Hobbit; Mostly
Profile pic by @Trish_Argh",SWestern USA,331,227,96776,2009-12-18 02:25:46,2020-12-08 22:47:45,23,"Balan was working on Tesla's interior fittings team when she tried to alert Elon Musk about concerns she had about sketchy contracts and unsafe floor mats. Just a few weeks earlier, Musk had urged employees to come to him with concerns if they saw fit.",[]
CommiNathan,Livin' Life,,115,43,2737,2016-08-08 20:03:23,2020-12-08 22:47:43,129,"Elon Musk has confirmed he moved to Texas.

Can't blame him. https://t.co/8KgD5OdVuv",[]
JosephKahn,Man of Leisure.,United States,414,67983,26907,2009-04-03 16:21:39,2020-12-08 22:47:41,0,California lost Elon Musk and Tesla. Tax paying corporations and rich people fleeing the state. Luckily Apple is bolted to the ground there. https://t.co/EVKEW0WmcC,[]
iluvnj1,,,1223,16,17491,2020-03-27 18:40:05,2020-12-08 22:47:41,9,"Tesla CEO Elon Musk on Tuesday said he's moved from Silicon Valley to Texas, coinciding with a major startup exodus from California since the start of the pandemic and the expansion of remote work this year. https://t.co/3zgNUFSIBx",[]
techchronicle,The @sfchronicle's business and tech coverage. Jamming with the console cowboys in cyberspace.,San Francisco,445,7785,8555,2009-08-06 21:52:23,2020-12-08 22:47:33,0,"Elon Musk said Tuesday that while Tesla and SpaceX maintain major operations in California, he has moved to Texas. Musk took the opportunity at the Wall Street Journal’s CEO Council summit to repeat his criticism of California’s regulatory environment.",[]
CleverWealthNow,I like to help people make more money and keep the money they've made.,"Seattle, WA",24,41,7837,2017-05-28 13:44:56,2020-12-08 22:47:24,0,"""Elon Musk says he has moved to Texas, from California."" by Neal E. Boudette via NYT https://t.co/g5plOETfp4",[]
BARRAG,"Founder and Chief Investment Officer, 2XL Capital Partners.","London, England",437,155,3694,2009-04-08 16:15:05,2020-12-08 22:47:16,13,"Elon Musk's net worth (approx $150.1B) is what Tesla's entire market cap was roughly 200 days ago..

Now read that again.",[]
sherry1138,Proud Trump supporter. #MAGA #KAG 🇺🇸🇺🇸 IFB All Patriots 🇺🇸🇺🇸#DemocratsAreDestroyingAmerica 🇺🇸🇺🇸 #LiberalismIsAMentalDisorder🇺🇸🇺🇸#TrumpWon🇺🇸,,4624,4132,54049,2020-02-09 20:34:48,2020-12-08 22:47:15,32,"I know that... Elon Musk took 4 in a day... 2 came back positive, 2 negative...

I want to see a study of people with known coronaviruses that aren't COVID-19 and see if it triggers the test.  To my knowledge and research, it hasn't been done. https://t.co/bwLnbudU5C",[]
RaymondPietrog3,I'm a warrior,,1,0,214,2020-07-14 09:40:40,2020-12-08 22:47:14,0,"Good choice.Screw California.A cry baby state

https://t.co/P1imGl2xMw",[]
pseybuck,,"Jackson, NJ",68,48,15238,2016-10-10 15:33:47,2020-12-08 22:47:02,258,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
