username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
GVWire,"Our mission is to illuminate programs, policies and people who promote the economic prosperity, health and well-being of residents of the Central Valley.","Fresno, CA",2653,5333,23595,2016-09-28 20:45:49,2020-12-08 22:50:43,0,"Elon Musk has moved to Texas to focus on two big priorities for his companies: SpaceX’s new Starship spacecraft and Tesla Inc.’s new Gigafactory, currently under construction in Austin. | https://t.co/1St3NsTlHy https://t.co/gpdrnUrI7j",[]
Theelonews,All things Elon Musk. Long: $TSLA,The Planet Mars,299,524,9323,2017-11-30 00:24:16,2020-12-08 22:50:39,0,"Elon Musk Moves to Texas, Takes Jab at Silicon Valley - WSJ https://t.co/mgV8l05Hy1",[]
issid_alexandre,,"Montréal, Québec",169,28,578,2016-09-19 21:19:06,2020-12-08 22:50:35,0,@EMOHMAI @flcnhvy @SpaceX @elonmusk oh wait so you mean Elon Musk said we weren’t ready yet? @EMOHMAI ? 😅,[]
mquirozt,"I'm a power plant engineer, general aviation private pilot, amateur astronomer,...","Antofagasta, Chile",5987,5442,405275,2009-04-18 05:09:05,2020-12-08 22:50:30,270,"I'd say the last person to leave Californian should turn out the lights, but I think @GavinNewsom is already working on that.  ""Elon Musk confirms he relocated to Texas from California"" https://t.co/HKmNCuyw3u",[]
MoontowerB,"A podcast spotlighting successful entrepreneurs in Austin, Texas. https://t.co/TZ34lbDeov","Austin, TX",817,775,357,2020-02-17 19:03:45,2020-12-08 22:50:27,0,Welcome to Texas ⁦@elonmusk⁩  https://t.co/8hJv6WlRwN,[]
Xx_RobloxMaster,epic gamer,,37,27,834,2017-04-05 02:03:27,2020-12-08 22:50:26,0,@xXGrimShadyXx pipe down we all know Elon musk isn’t attractive,[]
dtr300,,"California, USA",2202,785,9333,2009-05-20 13:01:49,2020-12-08 22:50:25,1,"#ElonMusk confirms: 'Yes, I have moved to #Texas.' Congratulations, Assemblywoman @LorenaAD80, author of the famed tweet, ""F*ck Elon Musk""--you and #California regulations like #AB5 have finally driven this entrepreneur and job creator out of California! https://t.co/OeJhXdMsFl","[{'text': 'ElonMusk', 'indices': [13, 22]}, {'text': 'Texas', 'indices': [55, 61]}]"
KVUE,"The best local news in Austin, Round Rock, and all of Central Texas! Share your pics using #KVUE.","Austin, TX",1186,218578,242719,2008-06-25 15:40:01,2020-12-08 22:50:22,0,"It's official: @elonmusk is now a #Texas resident  
https://t.co/dnkcj5r2Bc","[{'text': 'Texas', 'indices': [34, 40]}]"
ronsamp,"Humanitarian 
Philanthropist",TEXAS,132,44,2195,2009-08-11 04:51:29,2020-12-08 22:50:19,0,@SkinwalkerRyan Well I guess  Elon Musk needs to invent a warp drive so we can finally meet vulcans,[]
EL_PROTECTORADO,Logo & name R props of a cabal that operates thru various legal names. Logo y nombre son puntales de una camarilla que opera a través de varios nombres legales.,VBox/VPN/Proxy,48,329,9416,2019-09-02 01:12:52,2020-12-08 22:50:15,48,"Elon Musk confirms, ""Yes, I have moved to Texas"" https://t.co/4Ce2avoDTc",[]
